Timestamp,CUSIP,Bid,Ask
000000000000,9128283H1,98-316,99-001
000000000000,9128283L2,98-316,99-001
000000000000,912828M80,98-316,99-001
000000000000,9128283J7,98-316,99-001
000000000000,9128283F5,98-316,99-001
000000000000,912810TM0,98-316,99-001
000000000000,912810RZ3,98-316,99-001
000000001000,9128283H1,98-317,99-002
000000001000,9128283L2,98-317,99-002
000000001000,912828M80,98-317,99-002
000000001000,9128283J7,98-317,99-002
000000001000,9128283F5,98-317,99-002
000000001000,912810TM0,98-317,99-002
000000001000,912810RZ3,98-317,99-002
000000002000,9128283H1,99-000,99-003
000000002000,9128283L2,99-000,99-003
000000002000,912828M80,99-000,99-003
000000002000,9128283J7,99-000,99-003
000000002000,9128283F5,99-000,99-003
000000002000,912810TM0,99-000,99-003
000000002000,912810RZ3,99-000,99-003
000000003000,9128283H1,99-001,99-00+
000000003000,9128283L2,99-001,99-00+
000000003000,912828M80,99-001,99-00+
000000003000,9128283J7,99-001,99-00+
000000003000,9128283F5,99-001,99-00+
000000003000,912810TM0,99-001,99-00+
000000003000,912810RZ3,99-001,99-00+
000000004000,9128283H1,99-002,99-005
000000004000,9128283L2,99-002,99-005
000000004000,912828M80,99-002,99-005
000000004000,9128283J7,99-002,99-005
000000004000,9128283F5,99-002,99-005
000000004000,912810TM0,99-002,99-005
000000004000,912810RZ3,99-002,99-005
000000005000,9128283H1,99-003,99-006
000000005000,9128283L2,99-003,99-006
000000005000,912828M80,99-003,99-006
000000005000,9128283J7,99-003,99-006
000000005000,9128283F5,99-003,99-006
000000005000,912810TM0,99-003,99-006
000000005000,912810RZ3,99-003,99-006
000000006000,9128283H1,99-00+,99-007
000000006000,9128283L2,99-00+,99-007
000000006000,912828M80,99-00+,99-007
000000006000,9128283J7,99-00+,99-007
000000006000,9128283F5,99-00+,99-007
000000006000,912810TM0,99-00+,99-007
000000006000,912810RZ3,99-00+,99-007
000000007000,9128283H1,99-005,99-010
000000007000,9128283L2,99-005,99-010
000000007000,912828M80,99-005,99-010
000000007000,9128283J7,99-005,99-010
000000007000,9128283F5,99-005,99-010
000000007000,912810TM0,99-005,99-010
000000007000,912810RZ3,99-005,99-010
000000008000,9128283H1,99-006,99-011
000000008000,9128283L2,99-006,99-011
000000008000,912828M80,99-006,99-011
000000008000,9128283J7,99-006,99-011
000000008000,9128283F5,99-006,99-011
000000008000,912810TM0,99-006,99-011
000000008000,912810RZ3,99-006,99-011
000000009000,9128283H1,99-007,99-012
000000009000,9128283L2,99-007,99-012
000000009000,912828M80,99-007,99-012
000000009000,9128283J7,99-007,99-012
000000009000,9128283F5,99-007,99-012
000000009000,912810TM0,99-007,99-012
000000009000,912810RZ3,99-007,99-012
000000010000,9128283H1,99-010,99-013
000000010000,9128283L2,99-010,99-013
000000010000,912828M80,99-010,99-013
000000010000,9128283J7,99-010,99-013
000000010000,9128283F5,99-010,99-013
000000010000,912810TM0,99-010,99-013
000000010000,912810RZ3,99-010,99-013
000000011000,9128283H1,99-011,99-01+
000000011000,9128283L2,99-011,99-01+
000000011000,912828M80,99-011,99-01+
000000011000,9128283J7,99-011,99-01+
000000011000,9128283F5,99-011,99-01+
000000011000,912810TM0,99-011,99-01+
000000011000,912810RZ3,99-011,99-01+
000000012000,9128283H1,99-012,99-015
000000012000,9128283L2,99-012,99-015
000000012000,912828M80,99-012,99-015
000000012000,9128283J7,99-012,99-015
000000012000,9128283F5,99-012,99-015
000000012000,912810TM0,99-012,99-015
000000012000,912810RZ3,99-012,99-015
000000013000,9128283H1,99-013,99-016
000000013000,9128283L2,99-013,99-016
000000013000,912828M80,99-013,99-016
000000013000,9128283J7,99-013,99-016
000000013000,9128283F5,99-013,99-016
000000013000,912810TM0,99-013,99-016
000000013000,912810RZ3,99-013,99-016
000000014000,9128283H1,99-01+,99-017
000000014000,9128283L2,99-01+,99-017
000000014000,912828M80,99-01+,99-017
000000014000,9128283J7,99-01+,99-017
000000014000,9128283F5,99-01+,99-017
000000014000,912810TM0,99-01+,99-017
000000014000,912810RZ3,99-01+,99-017
000000015000,9128283H1,99-015,99-020
000000015000,9128283L2,99-015,99-020
000000015000,912828M80,99-015,99-020
000000015000,9128283J7,99-015,99-020
000000015000,9128283F5,99-015,99-020
000000015000,912810TM0,99-015,99-020
000000015000,912810RZ3,99-015,99-020
000000016000,9128283H1,99-016,99-021
000000016000,9128283L2,99-016,99-021
000000016000,912828M80,99-016,99-021
000000016000,9128283J7,99-016,99-021
